Sugerido por,Título,Autor,Status
CAMI,Tudo sobre o amor,Bell Hooks,Não lido
FER,A sucessora,Carolina Nabuco,Não lido
GIO,O Talentoso Ripley,Patricia Highsmith,Não lido
JULIA,Oração para desaparecer,Socorro Acioli,Não lido
LAYANI,A Maldição do Mar,Shea Ernshawn,Não lido
RAFA,Não fossem as sílabas do sábado,Mariana Salomão Carrara,Não lido
GABI,A pequena livraria dos sonhos,Jenny Colgan,Não lido
KHADIJAH,Meu Pé de Laranja Lima,José Mauro de Vasconcellos,Não lido
GIO SANTANA,A Inquilina Silenciosa,Clemence Michallon,Não lido
BIA BOECHAT,Oração para desaparecer,Socorro Acioli,Não lido
TAILINE,Cem anos de solidão,Gabriel Garcia Marques,Não lido
CAROL,Mil Vezes Amor,Lynn Painter,Não lido
ANDRESSA,Uma dama dora dos patrões,Julia Quinn,Não lido
CAMI,SALVAR O FOGO,ITAMARVIEIRAJUNIOR,Não lido
FER,Todos os nossos ontens,Natalia Ginzburg,Não lido
GIO,Mrs Dalloway,Virginia Woolf,Não lido
JULIA,Torto arado,Itamar Vieira,Não lido
LAYANI,Fallen,Lauren Kate,Não lido
RAFA,Mártir!,Kaveh Akbar,Não lido
GABI,Chocolate quente as quintas,feiras-Michiko Aoyama,Não lido
KHADIJAH,Mil Milhas,Tamara Klink,Não lido
BIA BOECHAT,A pequena coreografia do adeus,Aline Bei,Não lido
TAILINE,Ensaio sobre a cegueira,José Saramago,Não lido
CAROL,Caderno Proibido,Alba de Céspedes,Não lido
ANDRESSA,O caso da governanta,Courtney Milan,Não lido
CAMI,Siga Como Um Rio,Shelley Read,Não lido
FER,Quarto de Despejo,Carolina Maria de Jesus,Não lido
GIO,Shutter Island,Dennis Lehane,Não lido
JULIA,O tempo das cerejas,Montserrat Roig,Não lido
LAYANI,Uma Família Feliz,Raphael Montes,Não lido
RAFA,Doce inimiga minha,Marcela Serrano,Não lido
GABI,Como arruinar um casamento,Alison Espach,Não lido
KHADIJAH,Crescer e Partir,Tamara Klink,Não lido
GIO SANTANA,Flores para Algernon,Daniel Keyes,Não lido
BIA BOECHAT,Perto do Coração Selvagem,Clarice Lispector,Não lido
TAILINE,O evangelho segundo Jesus Cristo,José Saramago,Não lido
CAROL,Desenhos ocultos,Jason Rekulak,Não lido
ANDRESSA,O navio das noivas,Jojo Moyes,Não lido
CAMI,MAAME,Jessica George,Não lido
FER,O Sol é para todos,Harper Lee,Não lido
GIO,A Garota do Lago,Charlie Donlea,Não lido
JULIA,O sol é para todos,Harper Lee,Não lido
LAYANI,O Homem Invisível,H. G. Wells,Não lido
RAFA,Ciranda de Pedra,Lygia Fagundes Telles,Não lido
GABI,A morte é um dia que vale a pena viver,Ana Claudia Quintana,Não lido
KHADIJAH,Todas as Suas Imperfeições,Colleen Hoover,Não lido
BIA BOECHAT,Dias perfeitos,Raphael Montes,Não lido
TAILINE,o que resta de nós,Virgínia Grimaldi,Não lido
ANDRESSA,A pequena livraria dos corações solitários,Annie Darling,Não lido
CAMI,DEZ MIL SÓISDE VOLTA A HIROSHIMA,RENANCARVALHO,Não lido
FER,A mulher do Século,Patrick Dennis,Não lido
GIO,A morte de Ivan Ilitch,Liev Tolstoi,Não lido
JULIA,O avesso da pele,Jeferson Tenório,Não lido
LAYANI,1984,George Orwell,Não lido
RAFA,O quarto de Giovanni,James Baldwin,Não lido
GABI,Em outra vida talvez?,Taylor Jenkins Reid,Não lido
KHADIJAH,Expedição Oriente,Heloísa Schurmann,Não lido
BIA BOECHAT,Orgulho e Preconceito,Jane Austen,Não lido
TAILINE,Mudar: Método,Édouard Louis,Não lido
ANDRESSA,A última carta de amor,Jojo Moyes,Não lido
CAMI,Virginia Mordida,Jeovanna Vieira,Não lido
FER,A Trégua,Mario Benedetti,Não lido
GIO,Madame Bovary,Gustave Flaubert,Não lido
JULIA,A bela e a fera,Clarice Lispector,Não lido
LAYANI,Persuasão,Jane Austen,Não lido
RAFA,Temporada de furacões,Fernanda Melchor,Não lido
GABI,O massacre da família Hope,Riley Sager,Não lido
KHADIJAH,O Velho e o Mar,Ernest Hemingway,Não lido
BIA BOECHAT,O retrato Dorian Grey,Oscar Wilde,Não lido
CAMI,Se deus me chamar não vou,Mariana Carrara,Não lido
FER,O Jogador,Fiódor Dostoiévski,Não lido
GIO,Água fresca para flores,Valérie Perrin,Não lido
JULIA,A vida invisível  de Eurídice Gusmão,Martha Batalha,Não lido
LAYANI,Torto Arado,Itamar Vieira Junior,Não lido
RAFA,O Rio que me corta por dentro,Raul Damasceno,Não lido
GABI,Os sete maridos de Evelyn Hugo,Taylor Jenkins,Não lido
KHADIJAH,Talvez um dia,Colleen Hoover,Não lido
BIA BOECHAT,Frankenstein,Mary Shelley,Não lido
TAILINE,A gente mira no amor e acerta na solidão,Ana Suy,Não lido
CAMI,Maquina de leite,Szlvia Molnar,Não lido
FER,As vantagens de ser invisível,Stephen Chbosky,Não lido
GIO,Antes de Dormir,S.J. Watson,Não lido
JULIA,A hora da estrela,Clarice Lispector,Não lido
LAYANI,Sapato de salto,Lygia Bojunga,Não lido
RAFA,Os abismos,Pilar Quintana,Não lido
GABI,Silêncio no coração dos pássaros,Lénia Rufino,Não lido
